Measurement_Time,Port_1,Port 1,Port_2,Port 2,Port_3,Port 3,Port_4,Port 4,Port 5,Port 5
15.3.2019 17:30,0.003,-2.9,0.012,-3.8,-0.014,-2,0.004,-3.8,#N/A,#N/A
15.3.2019 18:00,0.054,34.3,0.072,32.4,0.023,35.9,0.056,32.5,#N/A,#N/A
15.3.2019 18:30,0.055,34.5,0.072,32.6,0.022,35.9,0.056,32.7,#N/A,#N/A
15.3.2019 19:00,0.055,34.7,0.073,32.7,0.022,35.7,0.056,32.9,#N/A,#N/A
15.3.2019 19:30,0.055,34.8,0.073,32.9,0.022,35.5,0.056,33,#N/A,#N/A
15.3.2019 20:00,0.055,34.8,0.073,33,0.022,35.3,0.056,33.1,#N/A,#N/A
15.3.2019 20:30,0.055,34.8,0.073,33.1,0.022,35,0.056,33.2,#N/A,#N/A
15.3.2019 21:00,0.055,34.7,0.073,33.2,0.022,34.7,0.056,33.2,#N/A,#N/A
15.3.2019 21:30,0.055,34.7,0.073,33.3,0.022,34.4,0.056,33.2,#N/A,#N/A
15.3.2019 22:00,0.055,34.5,0.073,33.3,0.022,34.1,0.056,33.2,#N/A,#N/A
15.3.2019 22:30,0.055,34.4,0.073,33.4,0.022,33.7,0.056,33.1,#N/A,#N/A
15.3.2019 23:00,0.055,34.2,0.074,33.4,0.022,33.5,0.056,33,#N/A,#N/A
15.3.2019 23:30,0.054,34,0.075,33.3,0.021,33.2,0.056,32.9,#N/A,#N/A
16.3.2019 0:00,0.054,33.8,0.075,33.3,0.021,32.9,0.056,32.8,#N/A,#N/A
16.3.2019 0:30,0.054,33.6,0.075,33.3,0.021,32.6,0.056,32.7,#N/A,#N/A
16.3.2019 1:00,0.054,33.5,0.075,33.2,0.021,32.4,0.056,32.6,#N/A,#N/A
16.3.2019 1:30,0.054,33.3,0.075,33.2,0.021,32.1,0.056,32.5,#N/A,#N/A
16.3.2019 2:00,0.054,33.1,0.075,33,0.021,31.8,0.056,32.4,#N/A,#N/A
16.3.2019 2:30,0.054,32.9,0.075,33,0.021,31.6,0.056,32.3,#N/A,#N/A
16.3.2019 3:00,0.054,32.7,0.075,32.9,0.021,31.4,0.056,32.1,#N/A,#N/A
16.3.2019 3:30,0.054,32.5,0.075,32.8,0.021,31.1,0.056,32,#N/A,#N/A
16.3.2019 4:00,0.053,32.3,0.075,32.7,0.021,30.8,0.055,31.9,#N/A,#N/A
16.3.2019 4:30,0.053,32.1,0.075,32.6,0.021,30.6,0.055,31.7,#N/A,#N/A
16.3.2019 5:00,0.053,31.9,0.075,32.5,0.021,30.4,0.055,31.6,#N/A,#N/A
16.3.2019 5:30,0.053,31.7,0.074,32.4,0.02,30.2,0.055,31.5,#N/A,#N/A
16.3.2019 6:00,0.053,31.5,0.073,32.3,0.02,30,0.055,31.3,#N/A,#N/A
16.3.2019 6:30,0.053,31.3,0.073,32.2,0.02,29.8,0.055,31.2,#N/A,#N/A
16.3.2019 7:00,0.053,31.1,0.073,32.1,0.02,29.5,0.055,31,#N/A,#N/A
16.3.2019 7:30,0.053,30.9,0.073,31.9,0.02,29.3,0.055,30.9,#N/A,#N/A
16.3.2019 8:00,0.053,30.7,0.073,31.8,0.02,29.1,0.055,30.8,#N/A,#N/A
16.3.2019 8:30,0.053,30.6,0.073,31.7,0.02,29,0.054,30.6,#N/A,#N/A
16.3.2019 9:00,0.052,30.4,0.073,31.6,0.02,28.9,0.054,30.5,#N/A,#N/A
16.3.2019 9:30,0.052,30.3,0.072,31.5,0.02,28.9,0.054,30.4,#N/A,#N/A
16.3.2019 10:00,0.052,30.1,0.072,31.4,0.02,29.1,0.054,30.3,#N/A,#N/A
16.3.2019 10:30,0.052,30.1,0.072,31.3,0.02,29.3,0.054,30.2,#N/A,#N/A
16.3.2019 11:00,0.052,30.1,0.072,31.2,0.02,29.8,0.054,30.1,#N/A,#N/A
16.3.2019 11:30,0.052,30.2,0.072,31.1,0.021,30.2,0.054,30.1,#N/A,#N/A
16.3.2019 12:00,0.052,30.3,0.071,31.1,0.021,30.8,0.054,30.1,#N/A,#N/A
16.3.2019 12:30,0.052,30.5,0.071,31.1,0.021,31.4,0.054,30.2,#N/A,#N/A
16.3.2019 13:00,0.052,30.8,0.071,31.1,0.021,32.1,0.054,30.3,#N/A,#N/A
16.3.2019 13:30,0.052,31.2,0.071,31.1,0.022,32.7,0.055,30.4,#N/A,#N/A
16.3.2019 14:00,0.053,31.6,0.071,31.1,0.022,33.3,0.055,30.6,#N/A,#N/A
16.3.2019 14:30,0.053,31.9,0.071,31.2,0.022,33.8,0.055,30.8,#N/A,#N/A
16.3.2019 15:00,0.053,32.4,0.071,31.3,0.022,34.4,0.055,31,#N/A,#N/A
16.3.2019 15:30,0.053,32.8,0.071,31.5,0.022,34.8,0.055,31.3,#N/A,#N/A
16.3.2019 16:00,0.053,33.2,0.072,31.6,0.023,35.2,0.056,31.6,#N/A,#N/A
16.3.2019 16:30,0.054,33.5,0.072,31.8,0.023,35.5,0.056,31.8,#N/A,#N/A
16.3.2019 17:00,0.054,33.8,0.072,31.9,0.023,35.7,0.056,32,#N/A,#N/A
16.3.2019 17:30,0.054,34.2,0.072,32.1,0.023,35.9,0.056,32.3,#N/A,#N/A
16.3.2019 18:00,0.054,34.4,0.072,32.3,0.023,35.9,0.056,32.5,#N/A,#N/A
16.3.2019 18:30,0.054,34.6,0.072,32.5,0.023,35.9,0.056,32.7,#N/A,#N/A
16.3.2019 19:00,0.054,34.8,0.073,32.6,0.023,35.7,0.057,32.9,#N/A,#N/A
16.3.2019 19:30,0.055,34.8,0.073,32.8,0.023,35.5,0.057,33,#N/A,#N/A
16.3.2019 20:00,0.055,34.9,0.073,32.9,0.023,35.3,0.057,33.1,#N/A,#N/A
16.3.2019 20:30,0.055,34.8,0.073,33,0.023,35,0.057,33.2,#N/A,#N/A
16.3.2019 21:00,0.055,34.8,0.073,33.1,0.022,34.7,0.057,33.2,#N/A,#N/A
16.3.2019 21:30,0.054,34.7,0.073,33.2,0.022,34.4,0.057,33.2,#N/A,#N/A
16.3.2019 22:00,0.054,34.6,0.074,33.2,0.022,34,0.057,33.1,#N/A,#N/A
16.3.2019 22:30,0.054,34.4,0.074,33.3,0.022,33.7,0.057,33.1,#N/A,#N/A
16.3.2019 23:00,0.054,34.3,0.074,33.3,0.022,33.5,0.057,33,#N/A,#N/A
16.3.2019 23:30,0.054,34.1,0.074,33.3,0.022,33.2,0.057,32.9,#N/A,#N/A
17.3.2019 0:00,0.054,33.9,0.074,33.3,0.022,32.9,0.057,32.8,#N/A,#N/A
17.3.2019 0:30,0.054,33.7,0.074,33.2,0.022,32.7,0.057,32.7,#N/A,#N/A
17.3.2019 1:00,0.054,33.5,0.074,33.2,0.022,32.4,0.057,32.6,#N/A,#N/A
17.3.2019 1:30,0.054,33.3,0.074,33.1,0.022,32.2,0.056,32.5,#N/A,#N/A
17.3.2019 2:00,0.054,33.1,0.074,33,0.022,31.9,0.056,32.4,#N/A,#N/A
17.3.2019 2:30,0.053,32.9,0.074,32.9,0.021,31.7,0.056,32.3,#N/A,#N/A
17.3.2019 3:00,0.053,32.8,0.073,32.8,0.021,31.5,0.056,32.2,#N/A,#N/A
17.3.2019 3:30,0.053,32.6,0.073,32.8,0.021,31.4,0.056,32,#N/A,#N/A
17.3.2019 4:00,0.053,32.4,0.073,32.7,0.021,31.2,0.056,31.9,#N/A,#N/A
17.3.2019 4:30,0.053,32.3,0.073,32.6,0.021,31.1,0.056,31.8,#N/A,#N/A
17.3.2019 5:00,0.053,32.1,0.073,32.5,0.021,30.9,0.056,31.7,#N/A,#N/A
17.3.2019 5:30,0.053,32,0.073,32.4,0.021,30.8,0.056,31.6,#N/A,#N/A
17.3.2019 6:00,0.053,31.8,0.073,32.4,0.021,30.7,0.056,31.5,#N/A,#N/A
17.3.2019 6:30,0.053,31.7,0.073,32.3,0.021,30.5,0.056,31.4,#N/A,#N/A
17.3.2019 7:00,0.053,31.6,0.074,32.2,0.021,30.4,0.056,31.3,#N/A,#N/A
17.3.2019 7:30,0.052,31.5,0.074,32.1,0.021,30.3,0.055,31.2,#N/A,#N/A
17.3.2019 8:00,0.052,31.4,0.074,32,0.021,30.1,0.055,31.1,#N/A,#N/A
17.3.2019 8:30,0.052,31.2,0.073,31.9,0.021,30,0.055,31,#N/A,#N/A
17.3.2019 9:00,0.052,31.1,0.073,31.8,0.021,30,0.055,30.9,#N/A,#N/A
17.3.2019 9:30,0.052,31,0.073,31.7,0.021,30,0.055,30.8,#N/A,#N/A
17.3.2019 10:00,0.052,30.9,0.073,31.7,0.021,30.1,0.055,30.7,#N/A,#N/A
17.3.2019 10:30,0.053,30.8,0.072,31.6,0.021,30.3,0.055,30.7,#N/A,#N/A
17.3.2019 11:00,0.053,30.9,0.072,31.5,0.021,30.6,0.055,30.6,#N/A,#N/A
17.3.2019 11:30,0.053,30.9,0.072,31.5,0.021,31.1,0.055,30.6,#N/A,#N/A
17.3.2019 12:00,0.053,31.1,0.072,31.4,0.021,31.6,0.055,30.6,#N/A,#N/A
17.3.2019 12:30,0.053,31.3,0.072,31.4,0.022,32.2,0.055,30.7,#N/A,#N/A
17.3.2019 13:00,0.053,31.6,0.072,31.5,0.022,32.8,0.055,30.8,#N/A,#N/A
17.3.2019 13:30,0.054,31.9,0.072,31.5,0.022,33.5,0.055,31,#N/A,#N/A
17.3.2019 14:00,0.054,32.3,0.072,31.5,0.022,34,0.055,31.1,#N/A,#N/A
17.3.2019 14:30,0.054,32.7,0.072,31.6,0.023,34.6,0.056,31.4,#N/A,#N/A
17.3.2019 15:00,0.054,33.1,0.072,31.7,0.023,35.2,0.056,31.6,#N/A,#N/A
17.3.2019 15:30,0.054,33.5,0.072,31.9,0.023,35.6,0.056,31.8,#N/A,#N/A
17.3.2019 16:00,0.055,33.9,0.072,32,0.023,36,0.056,32.1,#N/A,#N/A
17.3.2019 16:30,0.055,34.3,0.072,32.2,0.023,36.3,0.056,32.4,#N/A,#N/A
17.3.2019 17:00,0.055,34.6,0.072,32.4,0.023,36.6,0.057,32.6,#N/A,#N/A
17.3.2019 17:30,0.055,34.9,0.073,32.6,0.023,36.8,0.057,32.9,#N/A,#N/A
17.3.2019 18:00,0.056,35.2,0.073,32.7,0.023,36.8,0.057,33.1,#N/A,#N/A
17.3.2019 18:30,0.056,35.4,0.073,32.9,0.024,36.8,0.057,33.3,#N/A,#N/A
17.3.2019 19:00,0.056,35.6,0.073,33.1,0.023,36.7,0.058,33.5,#N/A,#N/A
17.3.2019 19:30,0.056,35.7,0.074,33.3,0.023,36.4,0.058,33.6,#N/A,#N/A
17.3.2019 20:00,0.056,35.7,0.074,33.4,0.023,36.1,0.058,33.7,#N/A,#N/A
